"","ligand","receptor","species","celltype_sender","celltype_receiver","lr_co_exp_num","lr_co_ratio","lr_co_ratio_pvalue","score"
"817","LAMA2","ITGB4","Human","TPancreatic_tissue","TDuct_epithelium",3,0.0483870967741935,0.035,0.709865433452076
"8211","LAMC1","ITGB4","Human","TPancreatic_tissue","TDuct_epithelium",6,0.0967741935483871,0.037,0.709129440062421
"12171","LAMA2","ITGA2","Human","TPancreatic_tissue","TDuct_epithelium",2,0.032258064516129,0.012,0.718926888053753
"12201","COL6A1","ITGA2","Human","TPancreatic_tissue","TDuct_epithelium",5,0.0806451612903226,0.045,0.706818552239278
"1221","COL4A4","ITGA2","Human","TPancreatic_tissue","TDuct_epithelium",1,0.0161290322580645,0.054,0.703480109556304
"1223","COL6A2","ITGA2","Human","TPancreatic_tissue","TDuct_epithelium",7,0.112903225806452,0.075,0.695628105835797
"12291","COL1A2","ITGA2","Human","TPancreatic_tissue","TDuct_epithelium",7,0.112903225806452,0.042,0.707927867939752
"12301","COL4A1","ITGA2","Human","TPancreatic_tissue","TDuct_epithelium",5,0.0806451612903226,0.006,0.72110656022452
"12331","COL3A1","ITGA2","Human","TPancreatic_tissue","TDuct_epithelium",7,0.112903225806452,0.035,0.710509535833221
"1327","FGF14","FGFR3","Human","TPancreatic_tissue","TDuct_epithelium",1,0.0161290322580645,0.058,0.765536879584447
"13982","MDK","SDC1","Human","TPancreatic_tissue","TDuct_epithelium",18,0.290322580645161,0,0.751300150579861
"14382","SEMA4D","PLXNB2","Human","TPancreatic_tissue","TDuct_epithelium",4,0.0645161290322581,0.054,0.747394064233993
"4601","TNFSF12","TNFRSF12A","Human","TPancreatic_tissue","TStroma",20,0.0630914826498423,0.005,0.7092988999777
"5751","AGTRAP","RACK1","Human","TPancreatic_tissue","TStroma",60,0.189274447949527,0.03,0.916772606174534
